the_geom,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.93553763468393 40.57868488581226),166801,408,X,1.0,6072,7,3326936,3.0,05/14/2009 12:00:00 AM,08/27/2018 12:00:00 AM,2,DCP,35405912.0,3307045,KINGSBORO CC ACADEMIC VILLAGE
POINT (-73.79418304538444 40.80653456425426),181429,403,X,2.0,9136,7,2100415,2.0,05/14/2009 12:00:00 AM,12/13/2019 12:00:00 AM,2,DCP,26744011.0,0,MARITIME COLLEGE QUARTERS 2
POINT (-73.8450884124363 40.85093906855436),116557,4201,X,1.0,1027172,7,2097363,2.0,01/05/2016 12:00:00 AM,07/23/2019 12:00:00 AM,2,OTHER,23036504.0,2049847,EINSTEIN COLLEGE BELFER CENTER
POINT (-73.8561160286678 40.68564637786348),169022,0,,1.0,1025581,16,4187302,4.0,12/10/2014 12:00:00 AM,12/10/2014 12:00:00 AM,2,OTHER,,208497,ST ELIZABETH CATHOLIC ACADEMY
POINT (-73.99173910937088 40.72139653767063),9001846,3658,X,1.0,17358,9,0,1.0,05/14/2009 12:00:00 AM,05/20/2020 12:00:00 AM,4,DoITT,11193004.0,0,RIVINGTON STREET PLAYGROUND
POINT (-74.00252407666332 40.71370495515312),262266,0,,2.0,7274,2,1001677,1.0,05/14/2009 12:00:00 AM,10/10/2013 12:00:00 AM,8,EMS,,5152561,THURGOOD MARSHALL US COURTHOUSE
POINT (-74.00307055518245 40.70528708663217),312425,470,X,2.0,18598,4,0,1.0,05/14/2009 12:00:00 AM,03/06/2019 12:00:00 AM,13,DCP,13063025.0,0,WAVERTREE
POINT (-73.95523564760751 40.76242573568485),36653,0,,2.0,1008430,7,1082643,1.0,09/19/2011 12:00:00 AM,12/27/2019 12:00:00 AM,2,OTHER,,5169407,ROCKEFELLER UNIVERSITY FOUNDERS HALL
POINT (-73.9083822799043 40.874582159007595),270793,231,,2.0,1017746,3,1080002,1.0,12/27/2012 12:00:00 AM,05/05/2022 12:00:00 AM,1,OTHER,,5166463,MARBLE HILL HOUSES BUILDING 12
POINT (-73.9638828919574 40.810901434044794),159182,0,,2.0,1024708,1,1059835,1.0,05/19/2014 12:00:00 AM,05/19/2014 12:00:00 AM,9,OTHER,,1051107,LUTHERAN NY SYNOD CHURCH
POINT (-73.97774797661118 40.69853476501025),29957,513,X,2.0,9674,6,3335133,3.0,05/14/2009 12:00:00 AM,05/02/2022 12:00:00 AM,7,DoITT,32333841.0,5205469,BROOKLYN NAVY YARD - BUILDING 275
POINT (-74.10552190932367 40.57420486837823),155364,0,N,1.0,9794,1,5107580,5.0,05/14/2009 12:00:00 AM,08/20/2014 12:00:00 AM,11,NYPD,50000801.0,5071470,122 PRECINCT
POINT (-73.91313428031613 40.830826823966156),9003487,120,G,2.0,7894,3,0,2.0,05/14/2009 12:00:00 AM,04/27/2017 12:00:00 AM,1,NYCHA,21181501.0,0,CLAREMONT REHABS GROUP 4
POINT (-73.88954475361909 40.668427490564106),47674,0,N,2.0,16214,12,0,3.0,05/14/2009 12:00:00 AM,07/27/2020 12:00:00 AM,4,DPR,30027501.0,0,CAUSA FESTIVAL GARDEN
POINT (-74.07690866627283 40.63826713641384),289263,0,,1.0,16290,2,5000044,5.0,05/14/2009 12:00:00 AM,05/14/2019 12:00:00 AM,5,DoITT,,5000078,STATEN ISLAND EARLY CHILDHOOD CENTER
POINT (-73.92056138790393 40.63554964675979),9009225,171,X,2.0,13510,3,3339410,3.0,05/14/2009 12:00:00 AM,05/14/2014 12:00:00 AM,1,DCP,34444016.0,3279945,GLENWOOD HOUSES BUILDING 14
POINT (-74.0911796259538 40.570640921833544),152718,0,,2.0,1022344,4,5055031,5.0,09/18/2013 12:00:00 AM,09/18/2013 12:00:00 AM,5,OTHER,,5122246,ISLAND SHORES SENIOR RESIDENCE
POINT (-73.97651488265926 40.75378763143149),165355,435,,2.0,1028736,5,1085630,1.0,11/16/2016 12:00:00 AM,11/16/2016 12:00:00 AM,7,OTHER,,1030758,LA FONDA DEL SOL
POINT (-74.01765643547088 40.67468262892005),17990,0,N,2.0,16731,7,0,3.0,05/14/2009 12:00:00 AM,01/25/2021 12:00:00 AM,6,EMS,30014901.0,0,PIER 44
POINT (-73.84980388151104 40.81823134527852),9007405,114,X,2.0,13992,3,2092633,2.0,05/14/2009 12:00:00 AM,12/19/2012 12:00:00 AM,1,DCP,21852206.0,2035542,CASTLE HILL HOUSES BUILDING 5
